TEST_NAME_ABBREVIATION	source_unit_clean	n_records	n_subjects	p_missing_values	value_percentiles	p_NA_AA_A_LL_L_N_H_HH
-sien-vi	NA	164	144	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-5hiaa-o	NA	29	29	NA	NA	NA
-muututk	NA	66	56	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-b2gpabg	u/ml	342	275	19	[ 1, 1, 1, 1, 1, 2, 2, 4, 10, 37.5, 443,  ]	NA
f-hb-o3	NA	125	113	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
tb2(b-tbifngosatutkimus)	NA	58	56	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
mycobacteriumtuberculosis-herkistyneetsolut,gammainterferoni,eritys	NA	59	57	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-transferriinireseptori	NA	59	54	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-prolaktiini	mu/l	117	103	0	[ 36, 92.6, 183.4, 221.4, 253.6, 304, 359, 430, 530, 817, 2598,  ]	NA
s-kissanhilse(e1),ige-vasta-aineet	u/ml	37	37	NA	NA	NA
s-pölyerittely,igevasta-aineet	u/ml	90	89	0	[ 0, 0.02, 0.03, 0.04, 0.05, 0.075, 0.144, 0.404, 1.23, 6.44200000000001, 66.8,  ]	NA
hct	NA	71	59	6	[ 0.26, 0.32, 0.34, 0.36, 0.37, 0.38, 0.39, 0.41, 0.42, 0.444, 0.5,  ]	NA
vp-gluk-1h	NA	144	110	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fl-str-bvi	NA	130	117	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-tati	NA	85	74	95	[ 1.2, 1.23, 1.26, 1.29, 1.36, 1.45, 1.54, 1.78, 2.32, 2.86, 3.4,  ]	NA
p-kors-0m	nmol/l	33	26	NA	NA	NA
c-ancapika	NA	100	98	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ts-hrd-d	NA	83	81	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-taksim1	NA	243	197	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-acthr1k	NA	33	26	NA	NA	NA
s-ana-ab	titre	35	35	NA	NA	NA
s-sentromeerip,vasta-aineet	NA	185	180	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
chl.trachomatisjan.gonorrhoenukleiinihappo(kval	NA	58	45	NA	NA	NA
epiteelit	e6/l	423	351	0	[ 0, 0.2, 0.4, 0.6, 1, 1.3, 1.92, 2.7, 4.1, 9.72000000000001, 87.9,  ]	NA
s-paroabm	NA	154	147	99	[ 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2,  ]	NA
leuk-vt	NA	49	43	NA	NA	NA
l-liuskat	NA	207	166	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-perusverenkuva,trombosyytitjaeosinofiilit	NA	39	38	NA	NA	NA
s-testovi	pmol/l	84	61	0	[ 17, 102.5, 125, 140.7, 159.4, 174, 203, 243.1, 277.4, 348.6, 707,  ]	NA
pt-kasvis	NA	22	21	NA	NA	NA
p-tnl	ug/l	179	105	0	[ 0, 0, 0, 0, 0, 0, 0.01, 0.01, 0.02, 0.05, 0.56,  ]	NA
pt-polamb3	NA	100	90	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
erikoislääkärinkonsultaatio	NA	12	11	NA	NA	NA
-troptqpi	NA	73	54	95	[ 48, 52.8, 57.6, 62.4, 65.6, 68, 70.4, 73, 76, 79, 82,  ]	NA
ts-dnamut	form	104	102	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-orgah	NA	118	102	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-brcamut	NA	124	123	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fp-gluk-2	mmol/l	168	135	0	[ 3.4, 4.7, 5.3, 5.7, 6.2, 6.8, 7.12, 7.7, 8.8, 10.13, 14.9,  ]	NA
hb(päiv.hoitaja)	g/l	28	28	NA	NA	NA
glukras-0	mmol/l	97	79	0	[ 4.2, 4.6, 4.8, 5, 5.1, 5.2, 5.4, 5.62, 5.9, 6.3, 7.7,  ]	NA
munavae	NA	11	10	NA	NA	NA
soijae	u/ml	60	58	0	[ 0, 0, 0.01, 0.01, 0.03, 0.06, 0.1, 0.193, 0.282, 0.656, 6.08,  ]	NA
lkmab	NA	7	7	NA	NA	NA
igm	g/l	7	7	NA	NA	NA
ua-vekaas	NA	199	193	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-metapne	NA	21	17	NA	NA	NA
u-albumiininjakreatiniininsuhde(mikroalbumiini)	NA	229	218	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-diffi,bas	%	124	75	0	[ 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 5,  ]	NA
s-hcvabg	NA	74	65	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
du-cu	umol	89	55	0	[ 0.12, 0.16, 0.226, 0.294, 0.404, 0.95, 2.002, 4.64, 6.476, 10.026, 30.27,  ]	NA
esblvi	NA	50	30	NA	NA	NA
pf-anaabg	NA	9	9	NA	NA	NA
crppika	mg/l	819	619	0	[ 2, 6, 7, 10, 13, 18, 25.8, 38.5999999999999, 55.4000000000001, 89, 224,  ]	[ 32][  0, 68,  0,  0,  0,  0,  0]
neulanpistopaketti(kohde)	NA	180	79	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
sp-suld	NA	138	56	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-myd88-d	NA	8	7	NA	NA	NA
pt-tms-s	NA	57	56	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-dezagab	NA	82	71	99	[ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ]	NA
s-dengabm	NA	333	304	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-kiirlve	NA	91	73	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-gluk2h	mmoll/l	169	114	0	[ 3.3, 4.58, 4.96, 5.54, 5.9, 6.3, 6.7, 7.46, 8.04, 9.72, 16.2,  ]	NA
fs-mbopak7	NA	212	188	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
elektroneuromyografia,rannekanava	NA	157	149	1	[ 1, 2.1, 6.05, 9.01, 11.11, 14.56, 17.01, 20.045, 22.11, 27.075, 31.1,  ]	NA
0mgh	ug/l	14	10	NA	NA	NA
-povnh	u/ml	100	48	NA	NA	NA
hba1cpikatesti	NA	177	143	15	[ 32, 41, 45, 48, 51, 54, 57, 61, 65, 70.2, 105,  ]	NA
u-bkvnh	u/ml	98	52	0	[ 3100, 4470, 7640, 17130, 22800, 32850, 68460, 112340, 242400, 517650, 9320000,  ]	NA
hoibupre	NA	41	29	NA	NA	NA
oma,pvk+t	NA	218	150	83	[ 0.33, 0.37, 0.38, 0.395, 0.4, 0.41, 0.42, 0.42, 0.43, 0.44, 0.48,  ]	NA
ca19-9antigeeni	u/ml	39	28	NA	NA	NA
hevonee	u/ml	174	163	0	[ 0, 0, 0, 0, 0.01, 0.03, 0.078, 0.17, 0.284, 1.328, 15.9,  ]	NA
p-myoglobiini	ug/l	23	14	NA	NA	NA
vatsanultraäänitutkimus	NA	19	19	NA	NA	NA
fs-tp-8	NA	53	42	NA	NA	NA
s-chpsabg	NA	11	11	NA	NA	NA
p-gluk-1t	mmol/l	166	104	0	[ 4.1, 5.3, 5.9, 6.35, 6.7, 7.3, 7.7, 8.35, 8.9, 10.05, 15,  ]	NA
-influenssaa-virus,nukeliinihapon(kval)	NA	119	112	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
vb-kalsium,ionisoitunut,ph7.4-korjattu	mmol/l	61	33	NA	NA	NA
pt-nainenp	NA	311	279	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
gfr-e-epi	ml/min/173m2	15	13	NA	NA	NA
s-ami	NA	296	62	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-nkaseie	u/ml	111	92	0	[ 0, 0, 0.02, 0.05, 0.14, 0.22, 0.38, 0.69, 2.23, 14.5, 409,  ]	NA
s-clteab	iu/ml	300	271	0	[ 0.02, 0.319, 0.658, 0.87, 1, 1.4, 1.7, 2.2, 2.8, 3.51, 4.8,  ]	NA
-pad	NA	208	126	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
rauta	umol/l	106	94	0	[ 7.2, 10.65, 11.6, 13.95, 14.9, 16.1, 17.8, 19.15, 22, 24.65, 31.7,  ]	NA
perusterveyspakettialat	u/l	259	218	0	[ 9, 16, 20, 23, 26, 30, 33.8, 39.6, 46, 54, 179,  ]	NA
pt-munfung	NA	310	218	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
glukoosi,pikatesti,veri	NA	217	127	54	[ 4.6, 6.1, 6.5, 7.14, 7.6, 8.5, 9.28, 9.92, 11.1, 11.92, 16,  ]	NA
s-hepatiittibvirus,s-antigeeni,vasta-aineet	NA	11	11	NA	NA	NA
pt-autherm	NA	50	48	NA	NA	NA
s-aps1ab	NA	12	11	NA	NA	NA
s-il17aab	NA	10	9	NA	NA	NA
s-il17fab	NA	10	9	NA	NA	NA
fs-cga	ug/l	11	9	NA	NA	NA
b-geeni-d	NA	39	38	NA	NA	NA
p-antitrombiiniiii	%	30	29	NA	NA	NA
fs-ca-ion/ph7.40	NA	120	85	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
hemoglobiini,pikatesti,veri	g/l	198	187	0	[ 44, 115, 123, 129, 134, 137, 142.2, 145, 149, 155, 189,  ]	NA
b-hbo2sat	%	382	62	0	[ 28.2, 58.5, 61.74, 64.83, 68.4, 70.75, 73.7, 78.24, 84.56, 94.78, 99.7,  ]	NA
soitto	NA	52	51	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-candidaalbicans,nukleiinihappo	NA	24	22	NA	NA	NA
ts-padcol	NA	96	89	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
plasmankalium(k)	mmol/l	573	190	0	[ 2.3, 3.4, 3.6, 3.7, 3.8, 3.9, 4.02, 4.2, 4.3, 4.6, 5.3,  ]	NA
plasmannatrium(k)	mmol/l	577	191	0	[ 122, 132, 135, 136, 138, 139, 139, 140, 141, 143, 149,  ]	NA
l-neut-hy	%	144	121	0	[ 2.2, 47, 55.2, 58, 62.2, 65, 68, 71.1, 76, 80.4, 88,  ]	NA
l-eos-hy	%	142	119	0	[ 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 9,  ]	NA
li-bkvnh	NA	21	19	NA	NA	NA
du-kors-v	nmol/24h	86	78	0	[ 8.8, 42.65, 51.6, 63.35, 74.2, 86, 94.7, 114.95, 141.6, 166.7, 661.6,  ]	NA
pt-kliininenrasituskoe,spiroergometria	NA	139	138	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
bm-lmark-h	NA	491	384	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-ancapik	NA	24	22	NA	NA	NA
f-clostridiumdifficile,toksiinigeeni,nukleiinihappo(kval),ulosteesta	NA	6	6	NA	NA	NA
b-tni-vt	ug/l	30	21	NA	NA	NA
pt-gluk-r6:fp-gluk0-näyte	mmol/l	196	146	0	[ 3.6, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5, 5.1, 5.3, 5.9,  ]	NA
pt-gluk-r6:p-gluk2hnäyte	mmol/l	195	146	0	[ 3, 4.44, 4.9, 5.32, 5.66, 6.1, 6.44, 6.8, 7.3, 7.8, 10.9,  ]	NA
s-uraatti	NA	38	37	NA	NA	NA
ly-tbspota	sp/e6lum	75	72	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 2, 5.60000000000001, 125,  ]	NA
s-qfevcf	NA	209	191	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-spirmin	NA	57	57	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-osmolie	mosm/kgh2o	8	8	NA	NA	NA
s-eläisse	NA	10	10	NA	NA	NA
s-testo-vl	NA	382	224	100	[ 123, 123, 123, 123, 123, 123, 123, 123, 123, 123, 123,  ]	NA
mb-gluk	mmol/l	2210	49	NA	NA	NA
i-statcl	NA	72	63	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
metisilliiniresistentinstaphylococcusaureus(mrs	NA	86	32	NA	NA	NA
pt-näkös	NA	112	105	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-hb	NA	88	77	91	[ 1, 1, 1, 1, 1, 2, 3.2, 3.9, 16.6, 61.9, 148,  ]	NA
l-neut-hy	NA	7	7	NA	NA	NA
l-eos-hy	NA	8	8	NA	NA	NA
l-mxdp	%	87	71	0	[ 0.8, 5.16, 6.56, 7.7, 8.2, 9, 9.76, 10.12, 11.16, 13.08, 17,  ]	NA
l-lyp	%	87	71	0	[ 8.8, 18.36, 22.04, 25.22, 28.36, 31.7, 34, 37.02, 38.94, 42.54, 65.5,  ]	NA
l-neutp	%	87	71	0	[ 19.7, 46.56, 50.9, 54.34, 56.4, 58.9, 61.6, 66.84, 69.26, 73.9, 84.1,  ]	NA
s-hasp�he	NA	108	105	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-reumapaketti	NA	7	7	NA	NA	NA
s-s100	ug/l	236	107	1	[ 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.12, 0.17, 0.267, 45.04,  ]	NA
s-amitrip	nmol/l	98	70	0	[ 31, 49.1, 65, 76.3, 108, 155, 177, 231.2, 307, 560.2, 2567,  ]	NA
s-morbabg	au/ml	27	27	NA	NA	NA
s-srpab-o	NA	641	601	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 41][  0,  0,  0,  0, 59,  0,  0]
s-ejab-o	NA	641	601	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 41][  0,  0,  0,  0, 59,  0,  0]
s-ojab-o	NA	641	601	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 41][  0,  0,  0,  0, 59,  0,  0]
s-tif1g-o	NA	463	441	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-kokaiini,varmistus	NA	16	16	NA	NA	NA
u-huum-7,opi	NA	325	6	NA	NA	NA
u-huum-7,bzd	NA	325	6	NA	NA	NA
u-huum-7,coc	NA	325	6	NA	NA	NA
u-huum-10,met	NA	405	13	NA	NA	NA
u-huum-10,mtd	NA	404	13	NA	NA	NA
u-huum-10,thc	NA	397	13	NA	NA	NA
alkopuhall	NA	323	16	NA	NA	NA
p-cl-vt	mmol/l	40	16	NA	NA	NA
la-t-cd8	NA	65	52	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
la-hb	g/l	23	13	NA	NA	NA
so-t-cd3	%	112	93	0	[ 10, 15.94, 18.9, 21.39, 23.5, 24.75, 27.96, 30.3, 34.5, 50.66, 67.1,  ]	NA
ps-streptococcus,viljely(beeta-hemolyyttisetstr	NA	48	47	NA	NA	NA
pt-yöpolygrafia,ambulatorinen,jalkaliikerekisteröinnein	NA	46	46	NA	NA	NA
pt-eeg-p2	NA	71	57	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ps-straagpika	NA	96	76	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
natrium(verikaasulaite),kapillariveri	mmol/l	41	15	NA	NA	NA
s-pennote	NA	71	69	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-tutk-ped	NA	182	61	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
sprno	NA	6	6	NA	NA	NA
vb-he-tase,vb-hco3	mmol/l	330	240	0	[ 6.4, 21.7, 23.28, 24.3, 25.46, 26.2, 26.9, 27.53, 28.62, 30.21, 49.3,  ]	NA
vb-he-tase,vb-na	mmol/l	330	241	0	[ 112, 129.9, 133.8, 135, 138, 139, 140, 140, 141, 142, 153,  ]	NA
keliakia,immunoglobuliinia	g/l	8	8	NA	NA	NA
s-ferritiini(pi)	ug/l	193	106	0	[ 6, 20.2, 32, 38.6, 47, 62, 84, 119.4, 161.2, 232, 695,  ]	NA
b-pvk+neut	NA	344	64	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-dnakuy	NA	58	56	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-seul-o,gluk	NA	54	48	NA	NA	NA
u-seul-pi,prot	NA	17	16	NA	NA	NA
fp-pth-int	ng/l	44	26	NA	NA	NA
pt-fvspirl	NA	30	27	NA	NA	NA
kudostransglutaminaasi,igavasta-aineet	NA	22	22	NA	NA	NA
crl-mitta	mm	91	89	0	[ 39.4, 53.6, 57.1, 58.5, 59.8, 61.6, 62.9, 64.2, 65.5, 68.8, 76.3,  ]	NA
pika-gluk	NA	54	38	NA	NA	NA
pt-kelia-m	NA	228	224	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
cb-gluk-vt	NA	245	35	NA	NA	NA
s-rnapol3	u/ml	26	26	NA	NA	NA
p-kolviitasaari	mmol/l	95	93	0	[ 2.6, 3.34, 3.6, 3.82, 4.06, 4.2, 4.54, 5, 5.4, 6, 6.9,  ]	NA
p-gluk-2t	NA	59	54	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-6-me-mp	umol/l	110	78	0	[ 5, 7.9, 10, 12, 15, 18, 33.4, 39.3, 66.2, 99.8000000000001, 170,  ]	NA
s-stpn11a	NA	116	69	98	[ 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16,  ]	NA
b-pdc	%leuk	38	32	NA	NA	NA
b-mdc	%leuk	38	32	NA	NA	NA
s-stpn2	ug/mlgmc	37	25	NA	NA	NA
s-stpn12f	ug/mlgmc	29	23	NA	NA	NA
s-stpn15b	ug/mlgmc	38	26	NA	NA	NA
kemia-pvkt	NA	20	18	NA	NA	NA
s-achrab	nmol/l	45	41	NA	NA	NA
u-gluk	form	17	16	NA	NA	NA
strepa-pikatesti,tth	NA	77	59	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
anjovis	u/ml	7	7	NA	NA	NA
rinnanpaksuneulabiopsiahistologinentutkimus	NA	25	23	NA	NA	NA
hi-virus,antigeenijavasta-aineetseerumista	NA	24	21	NA	NA	NA
covid-19koronavirustauti,nukleiinihappo(kval)	NA	26	26	NA	NA	NA
d-ebvabg	NA	53	51	79	[ 130, 145, 150, 175, 200, 215, 275, 500, 595, 700, 770,  ]	NA
u-kemseu,nitr	NA	34	28	NA	NA	NA
hcvab/lä	NA	23	18	NA	NA	NA
b-tcrg-d	NA	84	74	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
bm-tcr-d	NA	67	64	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fs-pepsin1	NA	123	116	99	[ 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101,  ]	NA
f-giardialamblia,nukleiinihappo	NA	25	20	NA	NA	NA
inkub.1vrk	NA	28	21	NA	NA	NA
s-psa(pi)	ug/l	67	51	0	[ 0.4, 0.6, 0.7, 0.8, 1, 1.1, 1.46, 1.92, 2.98, 3.88, 7.4,  ]	NA
fp-kolesteroli,highdensitylipoproteiinit(ko)	mmol/l	15	15	NA	NA	NA
s-nglym5e	NA	147	146	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-rarah6e	NA	103	102	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
sy-ly+mono	%	334	205	0	[ 1, 6.8, 11.46, 16.48, 23.92, 32.9, 42.08, 58.03, 78.88, 90.02, 99.5,  ]	NA
s-vzvcf	NA	51	46	NA	NA	NA
s-cer2/3	umol/l	111	110	0	[ 0.013, 0.022, 0.029, 0.032, 0.035, 0.037, 0.039, 0.042, 0.048, 0.053, 0.085,  ]	NA
s-cer4/3	umol/l	117	116	0	[ 0.204, 0.377, 0.4172, 0.4426, 0.4772, 0.5, 0.5416, 0.603, 0.6344, 0.7008, 0.83,  ]	NA
fluor,nat,fl-leuk	NA	123	70	85	[ 0, 0, 0, 1, 1.8, 3, 3, 3, 7.40000000000001, 16.5, 20,  ]	NA
fluor,nat,muuta	NA	122	70	85	[ 0, 0, 0, 0, 0.800000000000001, 1, 1, 1, 1, 1.3, 3,  ]	NA
s-glukr2h	mmol/l	11	11	NA	NA	NA
s-lysotsyymi	mg/l	19	17	NA	NA	NA
ap-ca-ion	NA	102	98	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
homesienir	NA	68	66	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-suoli	u/l	115	104	0	[ 0, 0, 0, 0, 0, 2.9, 5.5, 7.48, 12.02, 19.78, 66.5,  ]	NA
punasoluvasta-aineidentunnistus,verestä	NA	15	8	NA	NA	NA
du-tilavu	NA	27	27	NA	NA	NA
b-ohbutvt	mmol/l	95	64	0	[ 0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.34, 0.7, 1.14, 2.36, 6.6,  ]	NA
b-c/epi	s	132	116	0	[ 58, 88, 95.2, 111, 116, 125.5, 133.6, 143.7, 156.6, 176.8, 280,  ]	NA
borrelia,igmvasta-aineet,seerumista	NA	103	91	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
borrelia,iggvasta-aineet,aivo-selkäydinnesteestä	NA	24	23	NA	NA	NA
microsporumcanis	NA	21	20	NA	NA	NA
b-neutrofiilit	NA	115	94	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
i-stathct	%pcv	67	58	0	[ 18, 34.6, 37, 38, 40, 41, 42, 44, 46, 46.4, 56,  ]	NA
l-liuska	NA	112	78	66	[ 4, 26.7, 35.4, 40.3, 48.8, 52.5, 59.4, 67.25, 72, 79.3, 83,  ]	NA
p-kreatiniinitykslab(osat.)	umol/l	110	109	0	[ 42, 54.9, 59, 62.7, 65, 68.5, 70.4, 74, 78.2, 83, 114,  ]	NA
s-mirtats	NA	13	12	NA	NA	NA
b-kdiffi,b-lymf	e9/l	463	59	0	[ 0.3, 1.02, 1.4, 1.5, 1.7, 1.8, 2, 2.1, 2.3, 2.6, 3.7,  ]	NA
p-nap	mmol/l	341	108	0	[ 56, 133, 135, 138, 139, 140, 141, 142, 143, 145, 158,  ]	NA
u-kemseula,u-keto-o	NA	324	112	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-seula,u-leuk	NA	35	24	NA	NA	NA
b-diff-mik,mikroskooppidiffi	NA	13	10	NA	NA	NA
f-elastaasi1	ug/g	40	34	NA	NA	NA
s-a2glob	NA	20	18	NA	NA	NA
-rbaktnh	NA	38	35	NA	NA	NA
retikulosyytit	e9/l	532	299	0	[ 4, 39, 50, 57, 63, 72, 82, 92.7, 105.8, 125, 499,  ]	NA
du-proteiini,(du-prot-fr,valetietue)	g	16	14	NA	NA	NA
bakteeri,nukleiinihappo(kval)	NA	45	31	NA	NA	NA
pt-kohrrs	NA	73	65	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-bakteeri,jatkoviljely	NA	26	19	NA	NA	NA
s-hevosennhilse,igevasta-aineet	u/ml	22	22	NA	NA	NA
s-aspergillusvesicolor,igevasta-aineet	NA	17	17	NA	NA	NA
sprv-ktlau	NA	84	82	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-aboabm	NA	139	130	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fs-lipidit	mmol/l	512	127	0	[ 0.36, 0.941, 1.23, 1.5, 1.79, 2.455, 3.4, 4, 5, 5.6, 206,  ]	NA
cb-verikaasuanalyysi,laaja	NA	96	66	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-sänka	NA	51	44	NA	NA	NA
fibrosis-4indeksi	NA	136	129	1	[ 0.47, 0.832, 1.03, 1.204, 1.342, 1.55, 1.628, 1.77, 2.082, 2.782, 7.85,  ]	NA
s-hepatiittia-virus,iggvasta-aineet	NA	41	35	NA	NA	NA
b-dnabpg	NA	99	84	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-herpessimplexvirus,igmvasta-aineet	NA	10	10	NA	NA	NA
af-bil	umol/l	18	15	NA	NA	NA
li-bam40	NA	44	44	NA	NA	NA
f-kalprotektiini,ulosteesta	NA	29	28	NA	NA	NA
fp-transferriini(pi)	g/l	8	8	NA	NA	NA
p-d-vitamiini-25-oh	NA	8	8	NA	NA	NA
s-pölyerittely,igevasta-aineet	NA	23	23	NA	NA	NA
p-insu	NA	79	62	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-intem/mcf	mm	29	13	NA	NA	NA
-intem/a5	mm	29	13	NA	NA	NA
genlisä	NA	73	39	NA	NA	NA
p-urea,10mindialyysinjälkeen	mmol/l	16	16	NA	NA	NA
b-mlpa-d	NA	29	28	NA	NA	NA
hemoglobiini(vo:nyhteydessäotettu),tth	NA	109	90	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ts-yksinkertainenhistologinentutkimus(perusterveydenhuolto)	NA	68	63	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-talt.kt	NA	120	91	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fp-rf-o	NA	80	73	99	[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14,  ]	NA
ruoka-er	NA	26	25	NA	NA	NA
-colnrsv	NA	18	17	NA	NA	NA
neuvolapaketti1	NA	81	78	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fp-renin-m	mu/l	69	65	0	[ 0.6, 2.6, 4.32, 6.42, 8.7, 14.9, 23.88, 35.84, 57.16, 122.26, 931.2,  ]	NA
fp-a-vit	umol/l	462	240	0	[ 0.2, 0.9613, 1.2, 1.3, 1.5, 1.6, 1.8, 2, 2.2, 2.6, 8.8,  ]	NA
b-agalak	form	15	11	NA	NA	NA
b-tnt-pika	NA	254	135	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-tutkn-2	NA	514	98	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
munavae	u/ml	67	63	0	[ 0, 0.06, 0.1, 0.138, 0.164, 0.19, 0.3, 0.45, 0.642, 1.366, 7.89,  ]	NA
alkalinenfosfataasi(afos)	u/l	18	18	NA	NA	NA
cb-inr-oma	NA	761	110	22	[ 0, 1.8, 2.1, 2.3, 2.4, 2.6, 2.8, 2.91, 3.2, 3.6, 6.3,  ]	NA
du-globul	mg/l	48	31	NA	NA	NA
pf-ulkonäkö(kval)	NA	14	11	NA	NA	NA
fp-insu	NA	145	107	98	[ 5, 5.4, 5.8, 6.2, 6.6, 7, 7.2, 7.4, 7.6, 7.8, 8,  ]	NA
ghb-a1c-pika	%	89	30	NA	NA	NA
gluk-5min	NA	23	22	NA	NA	NA
ts-myelmut	NA	45	42	NA	NA	NA
-mikerik	NA	240	200	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-cmvabgs	NA	38	36	NA	NA	NA
u-tutk-1-	NA	78	74	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
kreatiniini,plasmasta	umol/l	97	96	0	[ 45, 53.6, 59, 63, 66.4, 70, 74.6, 79.2, 89.6, 137.6, 585,  ]	NA
globul	%	20	19	NA	NA	NA
s-crp,herkkä	mg/l	177	176	0	[ 0.3, 0.6, 0.9, 1, 1.14, 2, 2.76, 3.92, 8.84000000000001, 15.4, 50,  ]	NA
